Calif promedio iglesias|Calif promedio resorts|Calif promedio playas|Calif promedio parques|Calif promedio teatros|Calif promedio museos|Calif promedio centros_comerciales|Calif promedio zoologicos|Calif promedio restaurantes|Calif promedio bares_pubs|Calif promedio servicios_locales|Calif promedio pizzerias_hamburgueserias|Calif promedio hoteles_alojamientos|Calif promedio juguerias|Calif promedio galerias_arte|Calif promedio discotecas|Calif promedio piscinas|Calif promedio gimnasios|Calif promedio panaderias|Calif promedio belleza_spas|Calif promedio cafeterias|Calif promedio miradores|Calif promedio monumentos|Calif promedio jardines|provincia|canton|parroquia|nombre|lat|lon|score
0.0|0.0|3.63|3.65|5.0|2.92|5.0|2.35|2.33|2.64|1.7|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|SANTA ELENA|CATEDRAL DE EMPERATRIZ DE SANTA ELENA|-2.22678|-80.85844|1.569166666666667
0.0|0.0|3.63|3.65|5.0|2.92|5.0|2.64|2.33|2.65|1.7|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|SANTA ELENA|MUSEO AMANTES DE SUMPA|-2.234|-80.86748|1.581666666666667
0.0|0.0|3.63|3.63|5.0|2.92|5.0|2.64|2.33|2.64|1.7|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|MANGLARALTO|MUSEO VENUS VALDIVIA|-1.9424|-80.72438|1.580416666666667
0.0|0.5|3.63|3.63|5.0|2.92|5.0|2.35|2.33|2.64|1.73|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|COTOPAXI|LATACUNGA|MULALO|HACIENDA SAN AGUSTÍN DEL CALLO|-0.729013|-78.588847|1.590416666666667
0.0|0.0|3.63|3.63|5.0|2.92|5.0|2.64|2.33|2.64|1.7|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|CHIMBORAZO|CHAMBO|CHAMBO|AGUAS TERMALES AGUALLANCHI|-1.791117|-78.546|1.580416666666667
0.0|0.0|3.63|3.63|5.0|2.92|5.0|2.63|2.33|2.65|1.71|1.69|1.69|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|MANGLARALTO|ARTESANÍAS DE LA COMUNA DOS MANGAS|-1.82971|-80.69861|1.580416666666667
0.0|5.0|3.63|3.63|5.0|2.92|3.03|2.35|2.33|2.64|1.73|1.68|1.69|1.71|1.75|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|MANGLARALTO|BOSQUE TROPICAL DOS MANGAS|-1.82971|-80.69861|1.695
0.0|5.0|3.63|3.63|5.0|2.92|5.0|2.63|2.33|2.64|1.7|1.68|1.69|1.71|1.74|0.6|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|MANGLARALTO|PARQUE MARINO VALDIVIA|-1.91503|-80.72608|1.7875000000000003
0.0|5.0|3.64|3.64|5.0|2.92|3.03|2.62|2.32|2.63|1.71|1.67|1.68|1.7|0.75|0.6|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SALINAS|GENERAL ALBERTO ENRÍQUEZ GALLO|PLAYA DE CHIPIPE|-2.19787|-80.98244|1.6420833333333338
0.0|5.0|3.64|3.64|5.0|2.92|5.0|2.35|2.32|2.63|1.69|1.67|1.67|1.7|0.74|0.59|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SALINAS|GENERAL ALBERTO ENRÍQUEZ GALLO|CEVICHELANDIA|-2.20382|-80.97688|1.6900000000000006
