FID,ogc_fid,fcode,nam,na2,ctu,tdi,tsi,registro,num_atr,provincia,canton,parroquia,nombre,categoria,tipo,subtipo,jerarquia,pdf,desc_,desc2,desc3,lat,lon,img,geometry,DPA_PARROQ,DPA_CANTON,DPA_PROVIN
atractivos_tur.18,18,AX004,fichas/0018.pdf,CATEDRAL DE EMPERATRIZ DE SANTA ELENA,998,998,2,1,18,SANTA ELENA,SANTA ELENA,SANTA ELENA,CATEDRAL DE EMPERATRIZ DE SANTA ELENA,MANIFESTACIONES CULTURALES,ARQUITECTURA,HISTÓRICA / VERNÁCULA,II,fichas/0018.pdf,La Catedral Emperatriz de Santa Elena es un templo católico situado junto al Parque Vicente Rocafuerte del cantón Santa Elena. Es el edificio más alto de la ciudad y guarda en su interior las imágenes,"de la Emperatriz Santa Elena, San Vicente Ferrer, la Virgen de la Merced, el Señor de la Divina Misericordia, etc. Los fieles acuden a la procesión del Baño de la Cruz, realizada el Martes Santo, en",la que se dirigen a Ballenita para sumergir la cruz en la playa solicitando protección y suerte.,-2.22678,-80.85844,img_fichas/0018.jpg,POINT (515740.2844223275 9753871.904401971),240150,2401  ,24
atractivos_tur.41,41,AX004,fichas/0041.pdf,MUSEO AMANTES DE SUMPA,998,998,2,1,41,SANTA ELENA,SANTA ELENA,SANTA ELENA,MUSEO AMANTES DE SUMPA,MANIFESTACIONES CULTURALES,ARQUITECTURA,INFRAESTRUCTURA CULTURAL,II,fichas/0041.pdf,"Este museo de sitio se localiza en el cantón Santa Elena y forma parte de la Red de Museos del Ecuador, presenta elementos culturales y más de 200 esqueletos humanos en el sitio original,","siendo uno de los sitios arqueológicos más antiguos reconocidos a la fecha en América del Sur. Su nombre se debe al entierro de dos esqueletos, de un hombre y una mujer, fundidos en un abrazo","milenario conocido como ""los Amantes de Sumpa”. Se realizan talleres y actividades educativas durante el recorrido.",-2.234,-80.86748,img_fichas/0041.jpg,POINT (514735.03856589884 9753073.956603333),240150,2401  ,24
atractivos_tur.43,43,AX004,fichas/0043.pdf,MUSEO VENUS VALDIVIA,998,998,2,1,43,SANTA ELENA,SANTA ELENA,MANGLARALTO,MUSEO VENUS VALDIVIA,MANIFESTACIONES CULTURALES,ARQUITECTURA,INFRAESTRUCTURA CULTURAL,II,fichas/0043.pdf,"El Museo Venus Valdivia se localiza en el cantón Santa Elena, provincia Santa Elena. Posee una colección de restos arqueológicos en cerámica, piedra, concha, de las culturas Machalilla, Guangala, Vald","ivia, Manteña y Chorrera, además de restos humanos encontrados los cuales se presentan en su posición original de enterramiento, los cuales son atribuidos a la Cultura Valdivia, la más antigua de Amér",ica. El museo cuenta con un guía y se venden artesanías alusivas a la Cultura Valdivia.,-1.9424,-80.72438,img_fichas/0043.jpg,POINT (530652.2193679477 9785303.113773292),240154,2401  ,24
atractivos_tur.12,12,AX004,fichas/0012.pdf,HACIENDA SAN AGUSTÍN DEL CALLO,998,998,2,1,12,COTOPAXI,LATACUNGA,MULALO,HACIENDA SAN AGUSTÍN DEL CALLO,MANIFESTACIONES CULTURALES,ARQUITECTURA,ÁREA ARQUEOLÓGICA,III,fichas/0012.pdf,"La Hacienda San Agustín de Callo se ubica en el cantón Latacunga, provincia de Cotopaxi. Constituye un espacio de historia y arqueología, desde el siglo XV fue utilizada como fortaleza y palacio Inca. La ca","sa hacienda presenta tres estilos de construcción: Inca Imperial, Español- Colonial y Republicano. Actualmente funciona la Hostería San Agustín del Callo, que ha transformado la arquitectura y la han","convertido en habitaciones, restaurante y una capilla con motivos litúrgicos cristianos.",-0.729013,-78.588847,img_fichas/0012.jpg,POINT (768359.1167227123 9919350.239685174),050156,0501  ,05
atractivos_tur.220,220,AX004,fichas/0220.pdf,AGUAS TERMALES AGUALLANCHI,998,998,2,1,220,CHIMBORAZO,CHAMBO,CHAMBO,AGUAS TERMALES AGUALLANCHI,ATRACTIVOS NATURALES,AGUAS SUBTERRÁNEAS,MANANTIAL DE AGUA TERMAL,II,fichas/0220.pdf,"Las Aguas Termales de Aguallanchi, en el sector de Guayllabamba, Comuna San Francisco, cantón Chambo, Chimborazo. Ubicada a una altitud de 3246 msnm. La identidad del sector se","fuciona con el entorno natural del sector y se complementa con servicios tradicionales de la zona, parte de ello es el beneficio de salud corporal y mental que estas termas aportan al ser",humano que las visita.,-1.791117,-78.546,img_fichas/0220.jpg,POINT (773020.1199042614 9801844.277120866),060450,0604  ,06
atractivos_tur.44,44,AX004,fichas/0044.pdf,ARTESANÍAS DE LA COMUNA DOS MANGAS,998,998,2,1,44,SANTA ELENA,SANTA ELENA,MANGLARALTO,ARTESANÍAS DE LA COMUNA DOS MANGAS,MANIFESTACIONES CULTURALES,ACERVO CULTURAL Y POPULAR,ARTESANÍAS Y ARTE,II,fichas/0044.pdf,"Las artesanías de la Comuna Dos Mangas se las realizan en el cantón Santa Elena en la provincia del mismo nombre. Forman parte de una tradición artesanal peninsular,","los artesanos principalmente trabajan con paja toquilla y tagua. Se aprovecha la producción de paja toquilla de la zona, con lo cual elaboran artículos variados  tales como:","sombreros, paneras, carteras o envases",-1.82971,-80.69861,img_fichas/0044.jpg,POINT (533520.3314780585 9797758.564160852),240154,2401  ,24
atractivos_tur.45,45,AX004,fichas/0045.pdf,BOSQUE TROPICAL DOS MANGAS,998,998,2,1,45,SANTA ELENA,SANTA ELENA,MANGLARALTO,BOSQUE TROPICAL DOS MANGAS,ATRACTIVOS NATURALES,BOSQUES,HÚMEDO TROPICAL,II,fichas/0045.pdf,"Dos Mangas se encuentra ubicada a 7 Km del noreste de Manglaralto (Santa Elena), la comuna se caracteriza por su bosque.","Cuenta con un Centro de Interpretación y guías locales, quienes conducen a los visitantes por el bosque a conocer sus dos principales atractivos naturales:","el Sendero de las Cascadas y el Sendero de las Piscinas, que se recorren caminando o mediante cabalgatas.",-1.82971,-80.69861,img_fichas/0045.jpg,POINT (533520.3314780585 9797758.564160852),240154,2401  ,24
atractivos_tur.46,46,AX004,fichas/0046.pdf,PARQUE MARINO VALDIVIA,998,998,2,1,46,SANTA ELENA,SANTA ELENA,MANGLARALTO,PARQUE MARINO VALDIVIA,MANIFESTACIONES CULTURALES,ARQUITECTURA,INFRAESTRUCTURA RECREATIVA,III,fichas/0046.pdf,"El Parque Marino Valdivia se localiza a 4 Km de la Comuna Valdivia en el cantón Santa Elena, provincia Santa Elena y se levanta en un área de 1760 m2, donde se puede observar a caballitos y estrellas","de mar, peces, tortugas marinas y de tierra, pingüinos, lobo marino, cocodrilo, piqueros y pelícanos. Las especies conviven en un ambiente similar al hábitat del cual provienen. Las instalaciones cuen","tan con parqueadero, zona para venta de snacks y artesanías.",-1.91503,-80.72608,img_fichas/0046.jpg,POINT (530463.644494755 9788328.421004962),240154,2401  ,24
atractivos_tur.48,48,AX004,fichas/0048.pdf,PLAYA DE CHIPIPE,998,998,2,1,48,SANTA ELENA,SALINAS,GENERAL ALBERTO ENRÍQUEZ GALLO,PLAYA DE CHIPIPE,ATRACTIVOS NATURALES,COSTAS O LITORALES,PLAYA,III,fichas/0048.pdf,"La playa de Chipipe se localiza en el cantón Salinas, es considerada como un paradisíaco destino compuesto por más de 8 cuadras de franja costera, cuenta con aguas de temperatura cálida y apacible don","de se pueden realizar diversas actividades recreativas y deportivas. Durante los meses de junio a octubre, se puede realizar observación de aves y de ballenas jorobadas. La entretenida vida nocturna h",acen de esta playa uno de los principales destinos preferidos en la provincia de Santa Elena.,-2.19787,-80.98244,img_fichas/0048.jpg,POINT (501952.56052772014 9757068.119897665),240350,2403  ,24
atractivos_tur.49,49,AX004,fichas/0049.pdf,CEVICHELANDIA,998,998,2,1,49,SANTA ELENA,SALINAS,GENERAL ALBERTO ENRÍQUEZ GALLO,CEVICHELANDIA,MANIFESTACIONES CULTURALES,ACERVO CULTURAL Y POPULAR,GASTRONOMÍA,III,fichas/0049.pdf,"Cevichelandia se ubica en el cantón Salinas provincia de Santa Elena. Son aproximadamente 38 comedores construidos de hormigón armado, puertas enrollables y cubierta de eternit. En los locales se brin","dan almuerzos y platos a la carta al turista y nativos del cantón. Su especialidad son los ceviches preparados a base de jugo de limón, naranja y ensaladas, acompañados del pescado frito y patacón de","verde.  Alrededor están ubicadas varias cafeterías, fuentes de soda y hoteles.",-2.20382,-80.97688,img_fichas/0049.jpg,POINT (502570.7870707421 9756410.447913354),240350,2403  ,24
