ID unico de usuario|Calif promedio iglesias|Calif promedio resorts|Calif promedio playas|Calif promedio parques|Calif promedio teatros|Calif promedio museos|Calif promedio centros_comerciales|Calif promedio zoologicos|Calif promedio restaurantes|Calif promedio bares_pubs|Calif promedio servicios_locales|Calif promedio pizzerias_hamburgueserias|Calif promedio hoteles_alojamientos|Calif promedio juguerias|Calif promedio galerias_arte|Calif promedio discotecas|Calif promedio piscinas|Calif promedio gimnasios|Calif promedio panaderias|Calif promedio belleza_spas|Calif promedio cafeterias|Calif promedio miradores|Calif promedio monumentos|Calif promedio jardines|provincia|canton|parroquia|nombre|desc_|desc2|desc3|lat|lon
User 1|0.0|0.0|3.63|3.65|5.0|2.92|5.0|2.35|2.33|2.64|1.7|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|SANTA ELENA|CATEDRAL DE EMPERATRIZ DE SANTA ELENA|La Catedral Emperatriz de Santa Elena es un templo católico situado junto al Parque Vicente Rocafuerte del cantón Santa Elena. Es el edificio más alto de la ciudad y guarda en su interior las imágenes|de la Emperatriz Santa Elena, San Vicente Ferrer, la Virgen de la Merced, el Señor de la Divina Misericordia, etc. Los fieles acuden a la procesión del Baño de la Cruz, realizada el Martes Santo, en|la que se dirigen a Ballenita para sumergir la cruz en la playa solicitando protección y suerte.|-2.22678|-80.85844
User 2|0.0|0.0|3.63|3.65|5.0|2.92|5.0|2.64|2.33|2.65|1.7|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|SANTA ELENA|MUSEO AMANTES DE SUMPA|Este museo de sitio se localiza en el cantón Santa Elena y forma parte de la Red de Museos del Ecuador, presenta elementos culturales y más de 200 esqueletos humanos en el sitio original,|siendo uno de los sitios arqueológicos más antiguos reconocidos a la fecha en América del Sur. Su nombre se debe al entierro de dos esqueletos, de un hombre y una mujer, fundidos en un abrazo|"milenario conocido como ""los Amantes de Sumpa”. Se realizan talleres y actividades educativas durante el recorrido."|-2.234|-80.86748
User 3|0.0|0.0|3.63|3.63|5.0|2.92|5.0|2.64|2.33|2.64|1.7|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|MANGLARALTO|MUSEO VENUS VALDIVIA|El Museo Venus Valdivia se localiza en el cantón Santa Elena, provincia Santa Elena. Posee una colección de restos arqueológicos en cerámica, piedra, concha, de las culturas Machalilla, Guangala, Vald|ivia, Manteña y Chorrera, además de restos humanos encontrados los cuales se presentan en su posición original de enterramiento, los cuales son atribuidos a la Cultura Valdivia, la más antigua de Amér|ica. El museo cuenta con un guía y se venden artesanías alusivas a la Cultura Valdivia.|-1.9424|-80.72438
User 4|0.0|0.5|3.63|3.63|5.0|2.92|5.0|2.35|2.33|2.64|1.73|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|COTOPAXI|LATACUNGA|MULALO|HACIENDA SAN AGUSTÍN DEL CALLO|La Hacienda San Agustín de Callo se ubica en el cantón Latacunga, provincia de Cotopaxi. Constituye un espacio de historia y arqueología, desde el siglo XV fue utilizada como fortaleza y palacio Inca. La ca|sa hacienda presenta tres estilos de construcción: Inca Imperial, Español- Colonial y Republicano. Actualmente funciona la Hostería San Agustín del Callo, que ha transformado la arquitectura y la han|convertido en habitaciones, restaurante y una capilla con motivos litúrgicos cristianos.|-0.729013|-78.588847
User 5|0.0|0.0|3.63|3.63|5.0|2.92|5.0|2.64|2.33|2.64|1.7|1.69|1.7|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|CHIMBORAZO|CHAMBO|CHAMBO|AGUAS TERMALES AGUALLANCHI|Las Aguas Termales de Aguallanchi, en el sector de Guayllabamba, Comuna San Francisco, cantón Chambo, Chimborazo. Ubicada a una altitud de 3246 msnm. La identidad del sector se|fuciona con el entorno natural del sector y se complementa con servicios tradicionales de la zona, parte de ello es el beneficio de salud corporal y mental que estas termas aportan al ser|humano que las visita.|-1.791117|-78.546
User 6|0.0|0.0|3.63|3.63|5.0|2.92|5.0|2.63|2.33|2.65|1.71|1.69|1.69|1.72|1.74|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|MANGLARALTO|ARTESANÍAS DE LA COMUNA DOS MANGAS|Las artesanías de la Comuna Dos Mangas se las realizan en el cantón Santa Elena en la provincia del mismo nombre. Forman parte de una tradición artesanal peninsular,|los artesanos principalmente trabajan con paja toquilla y tagua. Se aprovecha la producción de paja toquilla de la zona, con lo cual elaboran artículos variados  tales como:|sombreros, paneras, carteras o envases|-1.82971|-80.69861
User 7|0.0|5.0|3.63|3.63|5.0|2.92|3.03|2.35|2.33|2.64|1.73|1.68|1.69|1.71|1.75|0.59|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|MANGLARALTO|BOSQUE TROPICAL DOS MANGAS|Dos Mangas se encuentra ubicada a 7 Km del noreste de Manglaralto (Santa Elena), la comuna se caracteriza por su bosque.|Cuenta con un Centro de Interpretación y guías locales, quienes conducen a los visitantes por el bosque a conocer sus dos principales atractivos naturales:|el Sendero de las Cascadas y el Sendero de las Piscinas, que se recorren caminando o mediante cabalgatas.|-1.82971|-80.69861
User 8|0.0|5.0|3.63|3.63|5.0|2.92|5.0|2.63|2.33|2.64|1.7|1.68|1.69|1.71|1.74|0.6|0.5|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SANTA ELENA|MANGLARALTO|PARQUE MARINO VALDIVIA|El Parque Marino Valdivia se localiza a 4 Km de la Comuna Valdivia en el cantón Santa Elena, provincia Santa Elena y se levanta en un área de 1760 m2, donde se puede observar a caballitos y estrellas|de mar, peces, tortugas marinas y de tierra, pingüinos, lobo marino, cocodrilo, piqueros y pelícanos. Las especies conviven en un ambiente similar al hábitat del cual provienen. Las instalaciones cuen|tan con parqueadero, zona para venta de snacks y artesanías.|-1.91503|-80.72608
User 9|0.0|5.0|3.64|3.64|5.0|2.92|3.03|2.62|2.32|2.63|1.71|1.67|1.68|1.7|0.75|0.6|0.0|0.0|0.5|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SALINAS|GENERAL ALBERTO ENRÍQUEZ GALLO|PLAYA DE CHIPIPE|La playa de Chipipe se localiza en el cantón Salinas, es considerada como un paradisíaco destino compuesto por más de 8 cuadras de franja costera, cuenta con aguas de temperatura cálida y apacible don|de se pueden realizar diversas actividades recreativas y deportivas. Durante los meses de junio a octubre, se puede realizar observación de aves y de ballenas jorobadas. La entretenida vida nocturna h|acen de esta playa uno de los principales destinos preferidos en la provincia de Santa Elena.|-2.19787|-80.98244
User 10|0.0|5.0|3.64|3.64|5.0|2.92|5.0|2.35|2.32|2.63|1.69|1.67|1.67|1.7|0.74|0.59|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|SANTA ELENA|SALINAS|GENERAL ALBERTO ENRÍQUEZ GALLO|CEVICHELANDIA|Cevichelandia se ubica en el cantón Salinas provincia de Santa Elena. Son aproximadamente 38 comedores construidos de hormigón armado, puertas enrollables y cubierta de eternit. En los locales se brin|dan almuerzos y platos a la carta al turista y nativos del cantón. Su especialidad son los ceviches preparados a base de jugo de limón, naranja y ensaladas, acompañados del pescado frito y patacón de|verde.  Alrededor están ubicadas varias cafeterías, fuentes de soda y hoteles.|-2.20382|-80.97688
User 11|0.0|0.53|3.65|3.67|5.0|2.92|5.0|2.61|2.32|2.63|1.67|1.66|1.67|1.69|0.74|0.59|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|NAPO|TENA|PUERTO MISAHUALLI|COMUNIDAD SHIRIPUNO|Shiripuno es un pueblo que se sitúa en la Amazonia de Ecuador, en la orilla oeste del Rió Napo y a 2 km de Puerto Misahualli.|La comunidad de Shiripuno se compone de 151 habitantes muy amables. Es una comunidad manejada por mujeres mediante una asamblea. Cuenta con actividades tanto culturales y en el medio natural.|Cuentan con servicio de alojamiento y alimentación.|-1.041885|-77.657391
User 12|0.0|0.53|3.65|3.68|5.0|2.93|5.0|2.61|2.31|2.62|1.67|1.65|1.66|1.68|0.73|0.58|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|PICHINCHA|DISTRITO METROPOLITANO DE QUITO|CENTRO HISTÓRICO|BOULEVARD 24 DE MAYO|El Boulevard 24 de Mayo se ubica en el cantón Quito, provincia de Pichincha. Antiguamente la constituía la quebrada de los Gallinazos, más se la rellenó y se construyó la avenida 24 de Mayo. Por largo|tiempo quedó en el olvido convirtiéndose en un espacio inseguro. Para el 2009 se inicia la última fase de recuperación dando paso a lo que hoy se ha convertido, un espacio de cultura y de distracción|.|-0.224|-78.51527
User 13|0.0|0.54|3.66|3.68|5.0|2.93|5.0|2.61|2.3|2.62|1.67|1.64|1.65|1.28|0.72|0.58|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|PICHINCHA|DISTRITO METROPOLITANO DE QUITO|CENTRO HISTÓRICO|PLAZA SANTA CLARA|La plaza se localiza en el cantón Quito, provincia de Pichincha, entre las calles Rocafuerte, Cuenca y Benalcázar. La gran fachada de la iglesia del monasterio de las Clarisas, adorna la plaza. Su ent|orno se ha convertido en un punto estratégico comercial y de tradiciones ancestrales como son las limpias y de las yerbateras. Actualmente la plaza se encuentra cerrada por las obras del Metro de Quit|o.|-0.222|-78.515943
